Fuente,Opinion,Fecha,Etiqueta
TikTok,"eso no es malo. lo malo es que no haya guia, orientacion ni aprendizaje en el uso de las herramientas. en menos de 5 anos quienes no sepas usarlas quedaran rezagados en el mercado laboral.",6/2/2026,2
TikTok,el uso de la inteligencia artificial en la universidad requiere que los profesores cambien su forma de evaluar,6/2/2026,0
TikTok,me parece injusto que el sistema de evaluacion no distinga entre quien razona y quien solo genera texto automatico,6/2/2026,1
TikTok,"utilizo estas plataformas para mejorar mi redaccion y estructurar mis proyectos, es muy util si se usa como guia",6/2/2026,2
TikTok,los docentes deberian ensenar a formular prompts efectivos en lugar de prohibir el uso de la inteligencia artificial,6/2/2026,2
TikTok,se supone que los profesores deben ensenar a usarlas..y siempre estar capacitados para ello,6/3/2026,2
TikTok,"si considero que es una herramienta que debe usarse sin abusar, aprendiendo y no solo copiando",6/3/2026,2
TikTok,Los docentes deberian integrar la inteligencia artificial en el aula para preparar mejor a los universitarios para el mercado laboral actual,6/4/2026,2
TikTok,osea que en la memoria de los estudiantes esta vacio,6/4/2026,1
TikTok,"ese dato lo sacaron de la ia Es una tecnologia nueva, todavia estamos evaluando su verdadero impacto.",6/4/2026,0
TikTok,el uso de la inteligencia artificial en la universidad requiere que los profesores cambien su forma de evaluar en la actualidad,6/4/2026,0
TikTok,"yo uso herramientas de ia para traducir textos en ingles que nos mandan a leer Es una tecnologia nueva, todavia estamos evaluando su verdadero impacto.",6/5/2026,0
TikTok,La mayoria de periodistas usan fotos generadas con inteligencia artificial en sus publicaciones,6/5/2026,0
TikTok,la universidad de guayaquil deberia actualizar su malla curricular e incluir estas nuevas tecnologias,6/6/2026,2
TikTok,la dependencia excesiva a estas herramientas puede generar profesionales incapaces de resolver problemas reales,6/6/2026,1
TikTok,usar chatgpt como tutor interactivo para calculo integral me ha servido mas que las tutorias presenciales,6/6/2026,0
TikTok,ojala con eso en el futuro aprendan a disenar un museo Es una herramienta indispensable hoy en dia para estructurar proyectos complejos.,6/7/2026,2
TikTok,definitivamente los docentes deberian ensenar a formular prompts efectivos en lugar de prohibir el uso de la inteligencia artificial,6/8/2026,2
TikTok,"si considero que es una herramienta que debe usarse sin abusar, aprendiendo y no solo copiando en la actualidad",6/8/2026,2
TikTok,"la ia ayuda a mejorar las consultas de deberes, que lo utilizan mal ya es otra cosa Es una herramienta indispensable hoy en dia para estructurar proyectos complejos.",6/8/2026,2
TikTok,los docentes deberian ensenar a formular prompts efectivos en lugar de prohibir el uso de la inteligencia artificial segun mi experiencia,6/8/2026,2
TikTok,"el problema no es la tecnologia, es la falta de etica academica de algunos estudiantes al presentar trabajos",6/8/2026,1
TikTok,hasta los profesores lo hacen. es mas la ia es mejor profesor que los profesores,6/9/2026,0
TikTok,"ya hay que volver al 20 promedio en tareas y 80 promedio de examenes finales, ahi verificamos quien estudio como lo haciamos la vieja escuela. Es una tecnologia nueva, todavia estamos evaluando su verdadero impacto.",6/9/2026,0
TikTok,pero si en youtube dan clases de matematicas se aprende mejor que la ia Definitivamente la IA optimiza el tiempo de estudio y permite enfocarse en el analisis critico.,6/11/2026,2
TikTok,"se usa en ciertos casos y para ciertas cosas, es una herramienta de apoyo nada mas, ya si los mas vagos la usan para todo ya es otra cosa",6/12/2026,2
TikTok,las universidades deben implementar normativas claras sobre el uso etico de estas herramientas tecnologicas,6/12/2026,0
TikTok,"el problema no es la tecnologia, es la falta de etica academica de algunos estudiantes al presentar trabajos en la actualidad",6/12/2026,1
TikTok,por eso que los alumnos hoy en dia se basa en ia mas rapido para sacar informacion de sus tareas,6/13/2026,0
TikTok,"estudiantes haciendo tareas con ia y docentes corrigiendo tareas con ia. todo se resume en quien maneja mejor estas herramientas. y aplica para todo, como el caso de aquel juez que dictaba sentencias con gpt",6/13/2026,0
TikTok,"ellos ocupan inteligencia artificial y el 35 por ciento, les dan haciendo",6/14/2026,0
TikTok,definitivamente el uso de la inteligencia artificial en la universidad requiere que los profesores cambien su forma de evaluar,6/14/2026,0
TikTok,"es perjudicial cuando los alumnos usan chatgpt para evitar pensar, perdiendo habilidades criticas para su carrera",6/14/2026,0
TikTok,las universidades deben implementar normativas claras sobre el uso etico de estas herramientas tecnologicas en la actualidad,6/15/2026,0
TikTok,los asambleistas de adn usan inteligencia artificial para hacer sus discursos,6/15/2026,0
TikTok,"es perjudicial cuando los alumnos usan chatgpt para evitar pensar, perdiendo habilidades criticas para su carrera en la actualidad",6/15/2026,0
TikTok,"definitivamente si considero que es una herramienta que debe usarse sin abusar, aprendiendo y no solo copiando",6/15/2026,2
TikTok,deberian evaluar mas el razonamiento en clase y no mandar tantos deberes a la casa,6/15/2026,0
TikTok,"unas generaciones atras usaban google y eso le molestaba a los profesores, ahora usan ia y les molesta tambien, deberian avanzar en otras asignaturas y no seguir perdiendo meses buscando el trinomio cuadrado perfecto.",6/16/2026,0
TikTok,integrar la inteligencia artificial en el aula preparara mejor a los universitarios para el mercado laboral actual en la actualidad,6/16/2026,0
TikTok,el uso de la inteligencia artificial en la universidad requiere que los profesores cambien su forma de evaluar segun mi experiencia,6/16/2026,0
TikTok,"pilas universidades, tenemos que elevar ese indice. Es una tecnologia nueva, todavia estamos evaluando su verdadero impacto.",6/17/2026,0
TikTok,me parece injusto que el sistema de evaluacion no distinga entre quien razona y quien solo genera texto automatico en la actualidad,6/18/2026,1
TikTok,"es una maravilla para sintetizar articulos cientificos extensos, ahorrando tiempo valioso en la investigacion",6/18/2026,2
TikTok,la dependencia excesiva a estas herramientas puede generar profesionales incapaces de resolver problemas reales en la actualidad,6/19/2026,1
TikTok,el uso de la inteligencia artificial en la universidad requiere que los profesores cambien su forma de evaluar en la actualidad,6/19/2026,0
TikTok,en mi curso la mayoria usa ia pero nadie lo admite por miedo a los profesores,6/19/2026,0
TikTok,"para los proyectos de mineria de datos, usar inteligencia artificial acelera muchisimo la limpieza de informacion",6/19/2026,2
TikTok,"la ia es un excelente apoyo para comprender temas dificiles, pero la logica y el razonamiento deben ser propios",6/19/2026,2
TikTok,"la ia es un excelente apoyo para comprender temas dificiles, pero la logica y el razonamiento deben ser propios en la actualidad",6/20/2026,2
TikTok,"hay que adaptarnos al presente, agilizar las tareas de antes. por algo crean herramientas ai de apoyo para agilizar trabajos, etc. simplemente hay que saber utilizarlo para un buen beneficio, para aprender mas, mas no solo copiar y pegar, si no hacer valer tus ideas en conjunto y fusion con la tecnologia. asi que no hay nada de malo en aprender a utilizar dichas herramientas que por algo fueron creadas por los informaticos. les animo a que sigan utilizando para el beneficio de uno mismo. no hay que quedarse estancados en el pasado si no mas bien enfocar la vision hacia el futuro. este es el futuro de la humanidad en conjunto con la tecnologia. a quien no le ha facilitado una herramienta tecnologica?. aquellos que lo han utilizado.",6/20/2026,2
TikTok,los docentes deberian ensenar a formular prompts efectivos en lugar de prohibir el uso de la inteligencia artificial en la actualidad,6/20/2026,2
TikTok,yo creo que en el futuro los profesores seran reemplazados por tutores virtuales con ia,6/21/2026,0
