Fuente,Opinion,Fecha,Etiqueta
TikTok,"eso no es malo. lo malo es que no haya guia, orientacion ni aprendizaje en el uso de las herramientas. en menos de 5 anos quienes no sepas usarlas quedaran rezagados en el mercado laboral.",6/8/2026,2
TikTok,el uso de la inteligencia artificial en la universidad requiere que los profesores cambien su forma de evaluar,6/15/2026,0
X,me parece injusto que el sistema de evaluacion no distinga entre quien razona y quien solo genera texto automatico,6/10/2026,1
TikTok,"utilizo estas plataformas para mejorar mi redaccion y estructurar mis proyectos, es muy util si se usa como guia",6/25/2026,2
TikTok,los docentes deberian ensenar a formular prompts efectivos en lugar de prohibir el uso de la inteligencia artificial,6/30/2026,2
TikTok,se supone que los profesores deben ensenar a usarlas..y siempre estar capacitados para ello,7/14/2026,2
Facebook,"si considero que es una herramienta que debe usarse sin abusar, aprendiendo y no solo copiando",6/19/2026,2
TikTok,Los docentes deberian integrar la inteligencia artificial en el aula para preparar mejor a los universitarios para el mercado laboral actual,7/17/2026,2
TikTok,osea que en la memoria de los estudiantes esta vacio,6/5/2026,1
TikTok,ese dato lo sacaron de la ia,6/19/2026,0
Facebook,yo uso herramientas de ia para traducir textos en ingles que nos mandan a leer,7/19/2026,0
Facebook,La mayoria de periodistas usan fotos generadas con inteligencia artificial en sus publicaciones,7/12/2026,0
Facebook,la universidad de guayaquil deberia actualizar su malla curricular e incluir estas nuevas tecnologias,7/17/2026,2
X,la dependencia excesiva a estas herramientas puede generar profesionales incapaces de resolver problemas reales,6/12/2026,1
TikTok,usar chatgpt como tutor interactivo para calculo integral me ha servido mas que las tutorias presenciales,7/3/2026,0
Facebook,ojala con eso en el futuro aprendan a disenar un museo,7/18/2026,2
X,"la ia ayuda a mejorar las consultas de deberes, que lo utilizan mal ya es otra cosa",6/14/2026,2
X,"el problema no es la tecnologia, es la falta de etica academica de algunos estudiantes al presentar trabajos",6/16/2026,1
TikTok,hasta los profesores lo hacen. es mas la ia es mejor profesor que los profesores,7/8/2026,2
TikTok,"ya hay que volver al 20 promedio en tareas y 80 promedio de examenes finales, ahi verificamos quien estudio como lo haciamos la vieja escuela.",7/15/2026,1
Facebook,pero si en youtube dan clases de matematicas se aprende mejor que la ia,6/26/2026,2
Facebook,"se usa en ciertos casos y para ciertas cosas, es una herramienta de apoyo nada mas, ya si los mas vagos la usan para todo ya es otra cosa",7/26/2026,2
TikTok,las universidades deben implementar normativas claras sobre el uso etico de estas herramientas tecnologicas,7/16/2026,0
Facebook,por eso que los alumnos hoy en dia se basa en ia mas rapido para sacar informacion de sus tareas,7/31/2026,0
Facebook,"estudiantes haciendo tareas con ia y docentes corrigiendo tareas con ia. todo se resume en quien maneja mejor estas herramientas. y aplica para todo, como el caso de aquel juez que dictaba sentencias con gpt",6/1/2026,0
Facebook,"es perjudicial cuando los alumnos usan chatgpt para evitar pensar, perdiendo habilidades criticas para su carrera",6/3/2026,1
Facebook,los asambleistas de adn usan inteligencia artificial para hacer sus discursos,6/10/2026,0
TikTok,deberian evaluar mas el razonamiento en clase y no mandar tantos deberes a la casa,7/23/2026,0
TikTok,"unas generaciones atras usaban google y eso le molestaba a los profesores, ahora usan ia y les molesta tambien, deberian avanzar en otras asignaturas y no seguir perdiendo meses buscando el trinomio cuadrado perfecto.",7/30/2026,0
X,integrar la inteligencia artificial en el aula preparara mejor a los universitarios para el mercado laboral actual,6/26/2026,0
TikTok,"pilas universidades, tenemos que elevar ese indice.",7/5/2026,0
TikTok,"es una maravilla para sintetizar articulos cientificos extensos, ahorrando tiempo valioso en la investigacion",6/27/2026,2
TikTok,en mi curso la mayoria usa ia pero nadie lo admite por miedo a los profesores,7/27/2026,0
TikTok,"para los proyectos de mineria de datos, usar inteligencia artificial acelera muchisimo la limpieza de informacion",7/29/2026,2
TikTok,"la ia es un excelente apoyo para comprender temas dificiles, pero la logica y el razonamiento deben ser propios",7/22/2026,2
